#{"t_start": 1776437778.5549152, "env_id": "None"}
r,l,t,reached,grasp_success
299.0,1,175.933201,True,True
301.087459,2,176.523556,True,True
268.028874,23,177.462211,True,True
298.076001,3,178.071616,True,True
299.0,1,178.665956,True,True
299.0,1,179.23153,True,True
293.489961,7,179.894959,True,True
296.125629,5,180.547159,True,True
287.646698,12,181.277711,True,True
299.0,1,181.848765,True,True
299.0,1,182.431658,True,True
292.561821,8,183.114043,True,True
297.394157,3,183.731337,True,True
290.311083,10,184.453829,True,True
299.0,1,185.049492,True,True
295.118378,5,185.67515,True,True
298.639797,2,186.278053,True,True
299.0,1,186.847491,True,True
297.630242,3,187.465914,True,True
297.882999,3,188.078043,True,True
278.830913,19,188.927825,True,True
299.0,1,189.494921,True,True
298.391529,3,190.120962,True,True
299.0,1,190.68422,True,True
299.743451,3,191.293369,True,True
298.711168,2,191.878038,True,True
299.0,1,192.455097,True,True
299.0,1,193.036394,True,True
293.646154,6,193.681083,True,True
299.0,1,194.257422,True,True
297.247257,4,194.877149,True,True
297.494567,4,195.492594,True,True
292.533466,9,196.206257,True,True
286.841273,13,196.963979,True,True
298.358349,2,197.55631,True,True
297.087723,5,198.194668,True,True
298.409467,3,198.812192,True,True
299.0,1,199.389935,True,True
299.853363,3,200.017142,True,True
299.0,1,200.589588,True,True
297.211824,4,201.208952,True,True
300.553346,2,201.791423,True,True
299.0,1,202.362999,True,True
291.920197,8,203.01439,True,True
299.0,1,203.583468,True,True
299.653701,3,204.192261,True,True
299.409155,2,204.765894,True,True
299.667047,2,205.354239,True,True
301.142275,2,205.949637,True,True
293.924768,7,206.608454,True,True
299.470024,2,207.195925,True,True
299.0,1,207.771784,True,True
295.07672,5,208.415801,True,True
299.631209,3,209.033691,True,True
299.85758,3,209.654225,True,True
299.0,1,210.242176,True,True
298.41646,3,210.844495,True,True
298.338323,2,211.412446,True,True
299.0,1,211.986375,True,True
296.335154,4,212.618556,True,True
299.0,1,213.361891,True,True
299.0,1,213.940774,True,True
299.48155,2,214.539817,True,True
287.538773,12,215.27985,True,True
301.049322,2,215.868036,True,True
298.701928,2,216.469903,True,True
297.989407,3,217.07292,True,True
299.093179,2,217.652608,True,True
301.060776,2,218.388997,True,True
295.704302,5,219.003021,True,True
297.418985,4,219.610666,True,True
298.758491,4,220.24109,True,True
301.083854,2,220.843816,True,True
295.175899,6,221.492942,True,True
301.142605,2,222.072793,True,True
299.573992,2,222.665814,True,True
299.0,1,223.237402,True,True
300.804663,2,223.832434,True,True
299.0,1,224.40836,True,True
299.0,1,224.999663,True,True
297.304922,3,225.606211,True,True
299.0,1,226.190698,True,True
299.31761,2,226.803204,True,True
292.577194,7,227.48705,True,True
297.850617,3,228.086731,True,True
299.0,1,228.642833,True,True
299.0,1,229.225593,True,True
299.0,1,229.790179,True,True
298.697486,2,230.391673,True,True
294.999215,5,231.032501,True,True
300.186171,2,231.638355,True,True
299.0,1,232.220343,True,True
298.398805,2,232.807571,True,True
301.06756,2,233.396233,True,True
298.684821,2,233.989282,True,True
299.0,1,234.566005,True,True
301.134338,2,235.156367,True,True
299.0,1,235.721058,True,True
298.720521,2,236.298178,True,True
299.0,1,236.887271,True,True
297.165897,4,237.506462,True,True
297.957781,3,238.109536,True,True
296.421119,4,238.74239,True,True
298.254846,3,239.341659,True,True
299.0,1,239.904166,True,True
297.424412,3,240.503712,True,True
285.3342,12,241.269973,True,True
299.999424,3,241.881952,True,True
296.409412,4,242.494498,True,True
298.71333,4,243.125987,True,True
300.026139,3,243.730574,True,True
299.0,1,244.29598,True,True
293.05313,7,244.944026,True,True
299.0,1,245.529288,True,True
289.301136,10,246.228464,True,True
297.134449,3,246.829249,True,True
299.0,1,247.397393,True,True
285.395231,13,248.134108,True,True
298.375624,3,248.743515,True,True
299.0,1,249.335997,True,True
299.7278,2,249.91504,True,True
299.0,1,250.492037,True,True
298.427526,2,251.099005,True,True
300.037983,3,251.707432,True,True
291.889175,8,252.396852,True,True
299.0,1,252.978383,True,True
301.016514,2,253.574237,True,True
298.182365,3,254.178936,True,True
298.737033,2,254.763045,True,True
296.149636,4,255.394291,True,True
299.0,1,255.971193,True,True
294.732668,6,256.627539,True,True
297.521452,3,257.229376,True,True
292.655069,8,257.907939,True,True
299.0,1,258.483062,True,True
300.787253,2,259.069511,True,True
298.349744,3,259.688803,True,True
299.0,1,260.29213,True,True
296.770401,4,260.918179,True,True
297.503244,3,261.522185,True,True
299.0,1,262.090567,True,True
288.95992,10,262.82918,True,True
299.248499,2,263.433185,True,True
299.0,1,264.00456,True,True
293.935144,6,264.653544,True,True
298.417662,2,265.250368,True,True
298.291611,2,265.857859,True,True
293.42987,7,266.53044,True,True
299.0,1,267.097831,True,True
297.146038,3,267.69854,True,True
299.0,1,268.275815,True,True
293.723517,7,268.948816,True,True
293.814033,6,269.621548,True,True
297.104227,4,270.238762,True,True
298.195942,2,270.814813,True,True
298.299659,2,271.40446,True,True
299.0,1,271.973186,True,True
246.036131,42,273.202639,True,True
296.943382,4,273.826108,True,True
296.079479,5,274.455299,True,True
299.0,1,275.045043,True,True
298.713715,2,275.637478,True,True
198.641142,73,277.359406,True,True
298.472853,2,277.951093,True,True
297.213179,5,278.602312,True,True
299.0,1,279.175408,True,True
299.993445,3,279.802361,True,True
298.757208,2,280.39366,True,True
301.189868,2,280.997324,True,True
299.21757,2,281.578586,True,True
299.0,1,282.152364,True,True
301.118034,2,282.748389,True,True
297.543653,3,283.360456,True,True
301.016977,2,283.939097,True,True
299.0,1,284.51394,True,True
299.747299,3,285.130581,True,True
299.0,1,285.727368,True,True
301.22583,2,286.322226,True,True
301.197009,2,286.913035,True,True
299.0,1,287.48321,True,True
251.48462,32,288.539848,True,True
299.0,1,289.104661,True,True
291.888458,7,289.787592,True,True
-79.785948,100,291.684057,False,False
299.0,1,292.256537,True,True
293.211662,6,292.911267,True,True
297.21363,3,293.524094,True,True
297.128193,3,294.125388,True,True
300.916779,2,294.732644,True,True
291.652743,8,295.414596,True,True
298.277842,2,296.004168,True,True
275.903602,11,296.750864,True,True
299.0,1,297.321958,True,True
288.91866,10,298.054365,True,True
301.104375,2,298.772462,True,True
294.879718,5,299.399177,True,True
229.913752,36,300.529857,True,True
288.307771,10,301.256493,True,True
297.280087,3,301.863449,True,True
299.970919,3,302.4724,True,True
-127.773622,100,304.35205,False,False
294.830343,5,304.978836,True,True
289.25204,10,305.730331,True,True
-120.829028,100,307.635561,False,False
289.678376,10,308.347045,True,True
-128.368993,100,310.225374,False,False
299.0,1,310.779016,True,True
298.090949,2,311.364062,True,True
299.0,1,312.016143,True,True
301.138004,2,312.612869,True,True
299.0,1,313.193112,True,True
301.076938,2,313.780356,True,True
301.215012,2,314.374449,True,True
230.022175,28,315.392289,True,True
296.05287,4,316.029084,True,True
-156.196137,100,317.887978,False,False
290.836153,9,318.575529,True,True
298.448171,2,319.169942,True,True
300.855058,2,319.7585,True,True
298.028393,3,320.364342,True,True
76.131389,90,322.37928,True,True
299.776911,3,322.982591,True,True
299.0,1,323.559137,True,True
289.115669,10,324.275341,True,True
294.548834,5,324.919658,True,True
300.871846,2,325.517112,True,True
295.87814,4,326.133869,True,True
298.42599,2,326.72696,True,True
