#{"t_start": 1776437133.498475, "env_id": "None"}
r,l,t,reached,grasp_success
299.813464,3,206.200977,True,True
-243.041625,100,207.701795,False,False
-204.433437,100,209.184051,False,False
-209.366452,100,210.668402,False,False
298.401379,2,211.236823,True,True
-211.478934,100,212.712123,False,False
295.849233,2,213.282074,True,True
297.245713,4,213.878898,True,True
297.580506,5,214.51344,True,True
295.89588,5,215.139266,True,True
295.608915,5,215.753388,True,True
297.287847,3,216.347284,True,True
-203.422744,100,217.858322,False,False
295.202007,7,218.573176,True,True
291.295456,8,219.249654,True,True
299.783131,3,219.842892,True,True
298.183792,3,220.438184,True,True
295.83904,2,221.028105,True,True
299.975934,3,221.638431,True,True
298.607491,4,222.26089,True,True
297.561001,5,223.037033,True,True
296.433348,6,223.730335,True,True
296.1343,4,224.350494,True,True
299.800852,3,224.952179,True,True
278.208488,14,225.675943,True,True
291.349611,9,226.338572,True,True
300.809365,2,226.932856,True,True
297.553627,5,227.565429,True,True
301.025975,2,228.161447,True,True
300.89788,2,228.760411,True,True
299.928195,3,229.358308,True,True
-204.5765,100,230.848721,False,False
292.531451,4,231.431332,True,True
293.784236,6,232.066659,True,True
-207.501507,100,233.519335,False,False
295.525428,2,234.070163,True,True
299.0,1,234.636218,True,True
-199.620183,100,236.09183,False,False
-196.940945,100,237.566511,False,False
295.637649,2,238.14647,True,True
257.432389,37,239.175008,True,True
283.768826,10,239.843281,True,True
300.94426,2,240.440693,True,True
297.329236,5,241.066032,True,True
298.347645,3,241.659033,True,True
289.379272,10,242.336245,True,True
297.043686,4,242.939432,True,True
294.887331,7,243.600698,True,True
-193.516846,100,245.090521,False,False
296.761137,4,245.700461,True,True
-188.924025,100,247.174976,False,False
295.489144,2,247.743832,True,True
296.14789,4,248.348689,True,True
283.102788,17,249.116553,True,True
299.0,1,249.674711,True,True
292.436963,4,250.266325,True,True
301.052358,2,250.851479,True,True
295.579179,2,251.434106,True,True
299.0,1,252.019674,True,True
295.598128,2,252.605794,True,True
286.409583,8,253.248435,True,True
299.0,1,253.817235,True,True
-185.529254,100,255.310328,False,False
295.546948,2,255.860327,True,True
295.511448,2,256.423117,True,True
289.651956,6,257.051026,True,True
289.614414,6,257.672853,True,True
-184.025199,100,259.150026,False,False
292.506348,4,259.758629,True,True
298.402248,2,260.344901,True,True
295.530819,2,260.929444,True,True
297.14692,4,261.536018,True,True
289.863625,10,262.187494,True,True
299.0,1,262.764843,True,True
292.481613,4,263.362817,True,True
301.144859,2,263.95238,True,True
295.368326,2,264.521577,True,True
300.953679,2,265.104784,True,True
299.0,1,265.677507,True,True
299.686309,3,266.23847,True,True
299.903677,3,266.832697,True,True
299.0,1,267.390985,True,True
300.932075,2,267.9825,True,True
299.0,1,268.562945,True,True
299.972062,3,269.16076,True,True
301.052436,2,269.883313,True,True
-180.412809,100,271.376594,False,False
297.846054,3,271.962306,True,True
301.052119,2,272.551914,True,True
296.145412,4,273.146451,True,True
298.393295,2,273.726291,True,True
298.784897,4,274.338715,True,True
-179.113756,100,275.828516,False,False
298.058418,3,276.408271,True,True
295.701628,2,276.990272,True,True
-178.65301,100,278.467031,False,False
-177.110691,100,279.943221,False,False
299.0,1,280.509664,True,True
300.97962,2,281.100547,True,True
300.789306,2,281.690287,True,True
299.767548,3,282.300775,True,True
286.573101,12,283.016084,True,True
293.782187,6,283.652339,True,True
-177.323002,100,285.141282,False,False
301.152895,2,285.709819,True,True
-174.751228,100,287.180922,False,False
294.03687,8,287.831254,True,True
298.440682,3,288.441468,True,True
295.571513,2,289.01431,True,True
295.548632,2,289.558043,True,True
288.006247,11,290.252194,True,True
-169.730558,100,291.741735,False,False
300.960796,2,292.328904,True,True
301.065398,2,292.916339,True,True
299.0,1,293.47991,True,True
-167.012758,100,294.966219,False,False
292.547149,4,295.552621,True,True
299.0,1,296.120715,True,True
298.423354,3,296.705507,True,True
299.0,1,297.262174,True,True
297.023337,4,297.863328,True,True
296.342952,6,298.508261,True,True
300.833252,2,299.100279,True,True
295.005217,6,299.734485,True,True
276.298066,21,300.525301,True,True
288.181652,11,301.191082,True,True
-165.689574,100,302.69898,False,False
299.0,1,303.265202,True,True
292.360514,7,303.883318,True,True
297.334062,4,304.485529,True,True
295.556619,2,305.080045,True,True
295.476613,2,305.650406,True,True
299.0,1,306.255392,True,True
299.690289,3,306.859049,True,True
299.475451,2,307.44461,True,True
299.0,1,308.056153,True,True
298.324859,3,308.654535,True,True
289.671616,6,309.266995,True,True
298.238089,3,309.856074,True,True
-166.290594,100,311.34715,False,False
295.718619,2,311.926525,True,True
-167.345924,100,313.414064,False,False
298.465972,2,313.959304,True,True
301.149538,2,314.525363,True,True
300.747282,2,315.129091,True,True
301.051232,2,315.7168,True,True
-167.568857,100,317.20848,False,False
293.565912,6,317.83984,True,True
299.70052,3,318.44727,True,True
295.50742,2,319.010458,True,True
299.0,1,319.583147,True,True
-166.454082,100,321.041744,False,False
299.0,1,321.638428,True,True
300.694716,2,322.22494,True,True
-164.031475,100,323.689656,False,False
297.368735,5,324.31971,True,True
-161.553661,100,325.78685,False,False
286.887885,8,326.412181,True,True
295.517446,2,326.973636,True,True
-163.675593,100,328.48053,False,False
-164.260106,100,329.957026,False,False
301.01372,2,330.535406,True,True
299.505762,2,331.125154,True,True
299.0,1,331.698063,True,True
299.574804,2,332.287742,True,True
299.279101,2,332.871994,True,True
299.991948,3,333.547937,True,True
299.936461,3,334.150678,True,True
295.521874,2,334.729327,True,True
292.455524,4,335.337849,True,True
297.175359,4,335.962815,True,True
-165.218641,100,337.477619,False,False
297.699199,5,338.101485,True,True
299.0,1,338.676398,True,True
-165.020313,100,340.177131,False,False
-166.394546,100,341.649017,False,False
292.496196,4,342.222964,True,True
-165.463895,100,343.695372,False,False
296.104791,5,344.324272,True,True
287.022389,8,344.978035,True,True
299.0,1,345.543388,True,True
297.15461,4,346.145803,True,True
295.475252,2,346.731354,True,True
299.0,1,347.299595,True,True
298.697146,4,347.918079,True,True
298.406497,3,348.512581,True,True
299.0,1,349.087739,True,True
293.512901,6,349.705194,True,True
299.0,1,350.276283,True,True
292.503837,4,350.893482,True,True
292.376438,4,351.512665,True,True
295.553048,2,352.094628,True,True
297.279307,4,352.694041,True,True
301.029046,2,353.291724,True,True
301.121807,2,353.884919,True,True
292.449383,4,354.474449,True,True
-181.930857,100,355.953681,False,False
-186.341981,100,357.433575,False,False
268.520166,30,358.387784,True,True
297.174285,4,358.996976,True,True
299.291867,2,359.580798,True,True
295.258339,7,360.234231,True,True
289.786467,12,360.960848,True,True
-180.124956,100,362.475974,False,False
301.090833,2,363.059057,True,True
-179.109622,100,364.529535,False,False
299.0,1,365.107747,True,True
301.137565,2,365.833674,True,True
299.0,1,366.41326,True,True
301.084434,2,367.022281,True,True
-180.802497,100,368.503675,False,False
301.055351,2,369.093291,True,True
301.031498,2,369.681728,True,True
301.151074,2,370.279043,True,True
295.522982,2,370.850118,True,True
299.941071,3,371.451686,True,True
299.0,1,372.02971,True,True
286.830598,12,372.741515,True,True
301.226312,2,373.336085,True,True
-180.755934,100,374.816646,False,False
286.815878,8,375.429676,True,True
299.209365,2,376.000184,True,True
299.270525,2,376.566296,True,True
299.0,1,377.15226,True,True
299.0,1,377.722734,True,True
292.452098,4,378.330914,True,True
299.0,1,378.908854,True,True
296.030883,5,379.524219,True,True
-181.94614,100,380.990921,False,False
-180.016549,100,382.46044,False,False
301.011359,2,383.047099,True,True
301.130846,2,383.674423,True,True
292.317325,4,384.273636,True,True
298.497327,3,384.864914,True,True
292.515833,4,385.457425,True,True
299.0,1,386.024457,True,True
